APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,Keyword: Bioinformatics,Keyword: Computational,Keyword: Systems,Keyword: Sum,Keyword: At least one?
9248415,T32,LM,5,N,3/31/2017,4/1/2017,3/31/2018,879,T32LM012204,SCHOOLS OF MEDICINE,RFA-HG-14-004,5T32LM012204-02,OD:193248\,"TRAINING, INSTITUTIONAL",2017,NATIONAL LIBRARY OF MEDICINE,,HANOVER,UNITED STATES,NONE,2,41027822,US,2021601,DARTMOUTH COLLEGE,NH,37551421,"PUBLIC HEALTH RELEVANCE: Support is requested for a multidisciplinary predoctoral training program in Quantitative Biomedical Sciences (QBS) at Dartmouth College. It is our vision that the next generation of big data researchers need multiple skills and expertise from areas such as bioinformatics, biostatistics, and epidemiology to bring together teams of researchers from diverse fields to tackle the most challenging problems in biomedicine.",1914006; ,"TOSTESON, TOR D;","YE, JANE",4/1/2016,3/31/2021,Science; ,Quantitative Biomedical Sciences at Dartmouth,12204,ZRG1,Special Emphasis Panel ,,,2,183674,9574,193248,1,0,0,1,TRUE
9304284,T32,GM,5,N,6/28/2017,7/1/2017,6/30/2018,859,T32GM100884,SCHOOLS OF MEDICINE,PA-11-184,5T32GM100884-05,NIGMS:165125\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Health Disparities; ,NEW HAVEN,UNITED STATES,PHYSIOLOGY,3,43207562,US,9420201,YALE UNIVERSITY,CT,65208327,"PUBLIC HEALTH RELEVANCE: The past 40 years of biomedical research have witnessed an explosion of cellular, molecular, genetic and biochemical knowledge. However, understanding how each of these molecular and cellular entities participate-both separately and together-in the complex systems that comprise the intact organism has lagged behind. Even more importantly, now that basic understanding of these biological principles has advanced so far, it has become crucial to develop more sophisticated clinical and translational approaches for leveraging this information toward the goal of understanding the molecular mechanisms of disease and developing therapeutics.",1895525; 8259911 (contact); ,"CAPLAN, MICHAEL J.; NITABACH, MICHAEL  (contact);","COLE, ALISON E",7/1/2013,6/30/2018,Molecular Medicine; Training Programs; ,Training Program in Molecular Medicine,100884,TWD,NIGMS Initial Review Group ,,,5,177376,9070,165125,0,0,1,1,TRUE
9307769,T32,DC,5,N,6/6/2017,7/1/2017,6/30/2018,173,T32DC000046,EARTH SCIENCES/RESOURCES,PA-14-015,5T32DC000046-23,NIDCD:166120\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,Minority Health; ,COLLEGE PARK,UNITED STATES,BIOLOGY,5,790934285,US,820102,"UNIV OF MARYLAND, COLLEGE PARK",MD,207425141,"PUBLIC HEALTH RELEVANCE: The CEBH Training Program will continue to provide in-depth and interdisciplinary training in the hearing sciences that prepares individuals to advance discovery and innovation at the interface of basic science and medicine. More complete knowledge of auditory system function promises both to solve some of the most perplexing and devastating problems of human health, and to design pioneering methodologies, systems, and devices that will transform how we live.",1901348 (contact); 1864255; ,"CARR, CATHERINE EMILY (contact); GORDON-SALANT, SANDRA M;","RIVERA-RENTAS, ALBERTO L",7/1/1994,6/30/2020,Biology; comparative; Hearing; ,Comparative and Evolutionary Biology of Hearing,46,ZDC1,Special Emphasis Panel ,,,23,332214,20906,166120,0,0,1,1,TRUE
9307827,T32,ES,5,N,7/10/2017,7/1/2017,6/30/2018,113,T32ES015459,SCHOOLS OF PUBLIC HEALTH,PA-11-184,5T32ES015459-09,NIEHS:672600\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,,SEATTLE,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,7,605799469,US,9087701,UNIVERSITY OF WASHINGTON,WA,981959472,Public Health Relevance: The adverse impact of environmental exposures on health is a deep public health concern that can be mitigated through training of the next generation of leaders in quantitative and environmental health sciences.  BEBTEH offers a unique blend of interdisciplinary quantitative and environmental health science training opportunities in first clas research environment. The proposed Training Program will help realize the vision of the 2012 NIEHS Strategic Plan 'to provide global leadership for innovative research that improves public health by preventing diseases and disability.',1941175; ,"SHEPPARD, ELIZABETH A  LIANNE;","SHREFFLER, CAROL A",7/1/2009,6/30/2019,Bioinformatics; Biometry; Environmental Health; Epidemiology; Training; ,"Biostatistics, Epidemiologic & Bioinformatic Training in Environmental Health",15459,EHS,Environmental Health Sciences Review Committee ,,,9,635044,37556,672600,1,0,0,1,TRUE
9386311,T32,DK,1,N,8/31/2017,9/1/2017,8/31/2018,847,T32DK110919,,PAR-15-182,1T32DK110919-01A1,NIDDK:139986\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,Diabetes; Nutrition; Obesity; ,BOSTON,UNITED STATES,,8,73130411,US,4907701,MASSACHUSETTS GENERAL HOSPITAL,MA,21142696,"NARRATIVE Technological and analytical advances have generated enormous data sets with information relevant to type 2 diabetes, obesity and related metabolic traits. There is an urgent need to attract investigators experienced in mathematics, statistics, computational biology and bioinformatics to the analysis and interpretations of such data, and to equip investigators with an interest in these phenotypes with the tools and skills required to extract valuable knowledge. This training grant will leverage complementary expertise across several Harvard-affiliated institutions by pairing selected trainees with faculty mentors who can provide rigorous training in a multidisciplinary setting pertinent to this disease area.",1911463 (contact); 9643320; ,"FLOREZ, JOSE CARLOS (contact); PATEL, CHIRAG J.;","CASTLE, ARTHUR",9/1/2017,8/31/2022,Bioinformatics; Diabetes Mellitus; Metabolism; Obesity; Training Programs; ,"Harvard Training Program in Bioinformatics Applied to Diabetes, Obesity and Metabolism.",110919,ZDK1,Special Emphasis Panel ,,A1,1,130084,9902,139986,3,1,0,4,TRUE
9397684,T32,MH,3,N,1/19/2017,12/10/2016,6/30/2017,242,T32MH020065,SCHOOLS OF MEDICINE,PA-16-287,3T32MH020065-14S1,NIMH:3024\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF MENTAL HEALTH,Mental Health; ,CHICAGO,UNITED STATES,GENETICS,1,5421136,US,1413601,UNIVERSITY OF CHICAGO,IL,606375418,"PUBLIC HEALTH RELEVANCE: The mission of the 'Training in Emerging Multidisciplinary Approaches to Mental Health and Disease' training program is to train pre- and post-doctoral students in the methodology that will be important for the next generation of progress in understanding the genetics of psychiatric health and disease. The program will emphasize the integration of computational and statistical approaches to complex datasets as well as the use of hypothesis driven laboratory-based experimental approaches. Trainees will be prepared for the coming decade, which will see an acceleration of the trend towards multidisciplinary science.",8575407; 3054054 (contact); ,"NICOLAE, DAN LIVIU; RZHETSKY, ANDREY  (contact);","VAN'T VEER, ASHLEE V",12/10/2016,6/30/2017,Disease; interdisciplinary approach; Mental Health; Training; ,Training in Emerging Multidisciplinary Approaches to Mental Health and Disease,20065,,,,S1,14,2800,224,3024,0,1,0,1,TRUE
9387669,T32,MH,3,N,5/9/2017,12/1/2016,6/30/2017,242,T32MH106454,SCHOOLS OF ARTS AND SCIENCES,PA-16-287,3T32MH106454-02S1,NIMH:3072\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF MENTAL HEALTH,Mental Health; ,AUSTIN,UNITED STATES,NEUROSCIENCES,10,170230239,US,578403,"UNIVERSITY OF TEXAS, AUSTIN",TX,787595316,"PUBLIC HEALTH RELEVANCE: The goal of the proposed training program is to offer the highest caliber pre- and postdoctoral training to position our students to become innovative leaders in the field of learning and memory. Impairments in learning and memory are characteristic of several mental health disorders, including schizophrenia, depression, and post-traumatic stress disorder. As such, there remains an urgent need to understand the brain mechanisms that underlie learning and memory in an effort to aid the development of effective treatment interventions for psychiatric and neurological disorders that require acquisition and maintenance of new behaviors. The skills required to obtain this goal is increasingly involve complex and state-of-the-art techniques, including cross-disciplinary experimental approaches and sophisticated computational techniques. The strengths of the talented and highly collaborative CLM faculty match these needs and are well suited to train the next generation of scientists that will lead this field in the 21st century.",1960889; ,"MAUK, MICHAEL D;","VAN'T VEER, ASHLEE V",12/1/2016,6/30/2017,Learning; Memory; Training; ,Training in Learning and Memory,106454,,,,S1,2,2844,228,3072,0,1,0,1,TRUE
9207557,T32,HL,2,N,12/30/2016,7/1/2017,6/30/2018,837,T32HL007284,SCHOOLS OF MEDICINE,PA-14-015,2T32HL007284-41,NHLBI:818334\,"TRAINING, INSTITUTIONAL",2017,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",Cardiovascular; ,CHARLOTTESVILLE,UNITED STATES,PHYSIOLOGY,5,65391526,US,1526402,UNIVERSITY OF VIRGINIA,VA,229044195,"Project Narrative/Relevance:  In spite of decades of research and expenditure of billions of dollars cardiovascular disease (CVD) remains the leading cause of death worldwide and is increasing in incidence largely as a consequence of global Westernization with subsequent epidemics in obesity, metabolic disease, and diabetes, all of which greatly exacerbate CVD. A central premise of this cardiovascular research training program (CVTP) is that these diseases are extremely complex, and that rigorous study of them requires trainees to have a strong foundation of knowledge in basic CV physiology, developmental biology, genetics, genomics, bioinformatics, epigenetics, pathology, systems biology, biomedical engineering, and many other disciplines. The goal of this training program is to provide both pre- and post-doctoral trainees a highly integrated training experience to enable them to be facile in all of these disciplines thus uniquely enabling them to conduct pioneering studies of the pathogenesis of CVD, and to contribute to development of innovative and much more effective ways to treat or prevent them.          ",6398572; ,"OWENS, GARY K;","SCOTT, JANE",7/1/1977,6/30/2022,Cardiovascular system; Grant; Research Training; ,Basic Cardiovascular Research Training Grant,7284,NITM,NHLBI Institutional Training Mechanism Review Committee ,,,41,767198,51136,818334,1,0,1,2,TRUE
9301648,T32,MH,5,N,4/28/2017,7/1/2017,6/30/2018,242,T32MH020065,SCHOOLS OF MEDICINE,PA-11-184,5T32MH020065-15,NIMH:281785\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF MENTAL HEALTH,Mental Health; ,CHICAGO,UNITED STATES,GENETICS,1,5421136,US,1413601,UNIVERSITY OF CHICAGO,IL,606375418,"PUBLIC HEALTH RELEVANCE: The mission of the 'Training in Emerging Multidisciplinary Approaches to Mental Health and Disease' training program is to train pre- and post-doctoral students in the methodology that will be important for the next generation of progress in understanding the genetics of psychiatric health and disease. The program will emphasize the integration of computational and statistical approaches to complex datasets as well as the use of hypothesis driven laboratory-based experimental approaches. Trainees will be prepared for the coming decade, which will see an acceleration of the trend towards multidisciplinary science.",8575407; 3054054 (contact); ,"NICOLAE, DAN LIVIU; RZHETSKY, ANDREY  (contact);","VAN'T VEER, ASHLEE V",7/11/2002,6/30/2018,Disease; interdisciplinary approach; Mental Health; Training; ,Training in Emerging Multidisciplinary Approaches to Mental Health and Disease,20065,ZMH1,Special Emphasis Panel ,,,15,263282,18503,281785,0,1,0,1,TRUE
9279333,T32,GM,2,N,6/30/2017,7/1/2017,6/30/2018,859,T32GM008764,BIOMED ENGR/COL ENGR/ENGR STA,PA-16-152,2T32GM008764-16,NIGMS:372892\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Health Disparities; ,BOSTON,UNITED STATES,ENGINEERING (ALL TYPES),7,49435266,US,10001093,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),MA,22151390,"This proposal seeks another five years of support to continue and enhance our established predoctoral-student training program in Quantitative Biology and Physiology (QBP). The mission of the QBP Program is to train PhD research scientists who have: (1) a quantitatively based understanding of the principles underlying molecular biology, cell biology and physiology; (2) the capacity to synthesize modern and quantitatively driven experimental methods with biology and physiology; (3) the ability to synthesize mechanistically and structurally based modeling skills with biological and physical systems; and (4) the capacity to assess emergent properties and behavior via integration across multiple length scales of a biological or physiological system or process.",1901370; ,"WHITE, JOHN A.;","NIE, ZHONGZHEN",7/1/2001,6/30/2022,Biology; Physiology; Training Programs; ,Training Program in Quantitative Biology and Physiology,8764,TWD,NIGMS Initial Review Group ,,,16,354752,18140,372892,0,0,1,1,TRUE
9546070,T32,ES,3,N,8/18/2017,7/1/2017,6/30/2019,113,T32ES013678,SCHOOLS OF MEDICINE,PA-11-184,3T32ES013678-10S1,NIEHS:1\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,Genetics; Human Genome; ,LOS ANGELES,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,34,72933393,US,7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,900331036,"PROJECT NARRATIVE This is a renewal of our T-32 training grant in 'Environmental Genomics,' aimed at providing multidisciplinary education and research training for five predoctoral and three postdoctoral trainees. For PhD candidates, our program involves a rigorous program of course work based on our existing PhD degree programs in Epidemiology, Molecular Epidemiology, Statistical Genetics & Genetic Epidemiology, and Biostatistics, with a well defined set of core knowledge aimed a bridging these various fields. At the post-doctoral level, the emphasis is on research experience within one of the leading research departments in the country, with extensive portfolios of grant support in environmental epidemiology, genetics, biostatistics, and bioinformatics and superb faculty for mentorship. Our goal is to position our trainees for leadership positions in this rapidly evolving field, by bringing together expertise in field studies, molecular techniques, and statistical and bioinformatic tools.",1964858 (contact); 7596471; ,"GAUDERMAN, WILLIAM JAMES (contact); MCCONNELL, ROB S;","SHREFFLER, CAROL A",7/1/2006,6/30/2019,Genomics; ,Environmental Genomics,13678,EHS,Environmental Health Sciences Review Committee ,,S1,10,154072,10374,1,1,0,0,1,TRUE
9393055,T32,DA,3,N,3/16/2017,12/1/2016,6/30/2017,279,T32DA007097,SCHOOLS OF VETERINARY MEDICINE,PA-16-287,3T32DA007097-35S1,NIDA:1\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE ON DRUG ABUSE,,MINNEAPOLIS,UNITED STATES,VETERINARY SCIENCES,5,555917996,US,1450402,UNIVERSITY OF MINNESOTA,MN,554552070,"This is a competitive renewal for an interdisciplinary training program at the University of Minnesota that focuses on the interactions of drugs of abuse with the nervous and immune systems, and integrates our understanding of these physiological interactions with their behavioral counterparts, including the role of drugs of abuse as co-factors in HIV/AIDS. To fulfill our training mission, 10 predoctoral and 5 postdoctoral positions are requested.",1955310; ,"MOLITOR, THOMAS WILLIAM;","BABECKI, BETH",12/1/2016,6/30/2017,addiction; neurobehavior; Neuroimmune; Research; Training; ,Training in Neuroimmune/Neurobehavior Addiction Research,7097,,,,S1,35,2362,189,1,0,0,1,1,TRUE
